[2025-11-27 17:06:49] Evento: impresion | ID: 4 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 17:09:03] Evento: impresion | ID: 4 | Ciudad: bogota | IP: 172.71.31.155 | OK.
[2025-11-27 17:09:07] Evento: impresion | ID: 4 | Ciudad: bogota | IP: 172.71.31.155 | OK.
[2025-11-27 17:09:17] Evento: impresion | ID: 4 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 17:09:26] Evento: impresion | ID: 4 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 17:12:20] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 17:12:43] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.120 | OK.
[2025-11-27 17:14:19] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.120 | OK.
[2025-11-27 17:14:33] Evento: click | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 17:14:41] Evento: click | ID: 3 | Ciudad: bogota | IP: 172.70.83.120 | OK.
[2025-11-27 17:17:35] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.68.12.84 | OK.
[2025-11-27 17:17:46] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.68.12.84 | OK.
[2025-11-27 17:17:50] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 17:18:02] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.211.76 | OK.
[2025-11-27 17:18:02] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.213.13 | OK.
[2025-11-27 17:18:42] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.186.142 | OK.
[2025-11-27 17:20:39] Evento: impresion | ID: 3 | Ciudad: medellin | IP: 172.70.54.254 | OK.
[2025-11-27 17:21:34] Evento: impresion | ID: 3 | Ciudad: medellin | IP: 172.70.54.254 | OK.
[2025-11-27 17:21:58] Evento: impresion | ID: 3 | Ciudad: medellin | IP: 172.70.54.254 | OK.
[2025-11-27 17:22:31] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.140.204 | OK.
[2025-11-27 17:22:41] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.140.204 | OK.
[2025-11-27 17:23:04] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.140.204 | OK.
[2025-11-27 17:26:30] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 17:27:44] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.46 | OK.
[2025-11-27 17:28:16] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.22.1.144 | OK.
[2025-11-27 17:28:23] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 17:28:28] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 17:28:53] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.210 | OK.
[2025-11-27 17:34:12] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 17:34:50] Evento: impresion | ID: 3 | Ciudad: pereira | IP: 172.70.55.2 | OK.
[2025-11-27 17:35:15] Evento: impresion | ID: 3 | Ciudad: pereira | IP: 172.70.55.2 | OK.
[2025-11-27 17:35:36] Evento: impresion | ID: 3 | Ciudad: pereira | IP: 172.70.54.254 | OK.
[2025-11-27 17:35:45] Evento: impresion | ID: 3 | Ciudad: pereira | IP: 172.70.54.254 | OK.
[2025-11-27 17:37:00] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.120 | OK.
[2025-11-27 17:37:19] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 17:42:54] Evento: impresion | ID: 3 | Ciudad: cali | IP: 104.23.248.111 | OK.
[2025-11-27 17:43:04] Evento: impresion | ID: 3 | Ciudad: cali | IP: 104.23.248.111 | OK.
